condition,seed,method,MAE,KL,n,m_sources
high_noise,199,rel_wtd_mean,0.09538782154989549,0.9262462533628586,6846,5
high_noise,199,median,0.08958338534758743,2.0569590043735593,6846,5
high_noise,199,dempster_shafer,0.15845460112640392,3.306078603734938,6846,5
high_noise,199,corr_cluster,0.08535842838526014,0.9091361343664702,6846,5
high_noise,199,sugeno,0.11305893091510838,0.939129297422371,6846,5
high_noise,313,Choquet(ours),0.11912163340275199,0.8581496220801741,6865,5
high_noise,313,naive_mean,0.12366269851255926,0.9111185675270111,6865,5
high_noise,313,rel_wtd_mean,0.12181363321593651,0.8901223091819793,6865,5
high_noise,313,median,0.13501140514479823,3.88203428817827,6865,5
high_noise,313,dempster_shafer,0.16715913902764432,3.833005815359389,6865,5
high_noise,313,corr_cluster,0.12656836891503145,0.9356241179696974,6865,5
high_noise,313,sugeno,0.11724159687998857,0.8063150224829762,6865,5
complementary,20260613,Choquet(ours),0.07334323463326113,1.449389966629885,6680,5
complementary,20260613,naive_mean,0.07180694739799849,1.4386059717874458,6680,5
complementary,20260613,rel_wtd_mean,0.07376528618409196,1.452673551622099,6680,5
complementary,20260613,median,0.10358524694141459,4.416017474064397,6680,5
complementary,20260613,dempster_shafer,0.15541793300842613,7.0780795912543955,6680,5
complementary,20260613,corr_cluster,0.07180694739799849,1.4386059717874458,6680,5
complementary,20260613,sugeno,0.07467985312709757,1.457463619856112,6680,5
complementary,7,Choquet(ours),0.12353131944754075,1.9925794563399588,6624,5
complementary,7,naive_mean,0.1331222251304717,2.0415406016056177,6624,5
complementary,7,rel_wtd_mean,0.12458069533270333,2.0004364146642812,6624,5
complementary,7,median,0.16574815236009147,6.953622189183863,6624,5
complementary,7,dempster_shafer,0.12043214283960668,5.425451520609334,6624,5
complementary,7,corr_cluster,0.1331222251304717,2.0415406016056177,6624,5
complementary,7,sugeno,0.12346877825184475,1.9864110154146013,6624,5
complementary,101,Choquet(ours),0.097516953158082,1.6406570113387593,6661,5
complementary,101,naive_mean,0.09762008692109582,1.631047768804658,6661,5
complementary,101,rel_wtd_mean,0.09815415365507096,1.644306688889369,6661,5
complementary,101,median,0.13436640544549774,5.629001835381229,6661,5
complementary,101,dempster_shafer,0.18541203517937313,8.696311126590805,6661,5
complementary,101,corr_cluster,0.09762008692109582,1.631047768804658,6661,5
complementary,101,sugeno,0.09669300449505078,1.6168546885814854,6661,5
complementary,11,Choquet(ours),0.13685950825287035,1.3273476153218187,6602,5
complementary,11,naive_mean,0.1281726214726947,1.2851813514693609,6602,5
complementary,11,rel_wtd_mean,0.13520389612559136,1.3210492090039765,6602,5
complementary,11,median,0.11138358684661959,2.603045220336253,6602,5
complementary,11,dempster_shafer,0.22092158169420534,10.125222448322045,6602,5
complementary,11,corr_cluster,0.1281726214726947,1.2851813514693609,6602,5
complementary,11,sugeno,0.1410414248229363,1.33440230454979,6602,5
complementary,23,Choquet(ours),0.12146377529941152,2.514564275850368,6483,5
complementary,23,naive_mean,0.13198032174075428,2.571879330378121,6483,5
complementary,23,rel_wtd_mean,0.12358905107304392,2.524828877176612,6483,5
complementary,23,median,0.17760473026208606,7.50729262461275,6483,5
complementary,23,dempster_shafer,0.10193922756705327,4.128513853220878,6483,5
complementary,23,corr_cluster,0.13198032174075428,2.571879330378121,6483,5
complementary,23,sugeno,0.12540659623968664,2.5256120236813757,6483,5
complementary,47,Choquet(ours),0.1371738549273412,1.296527768002551,6792,5
complementary,47,naive_mean,0.1306399555058752,1.2659001634734823,6792,5
